"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0005996","GO:0005996","monosaccharide metabolic process","28/423","256/18614",6.55313498615742e-12,2.56096515259032e-08,2.3943085828371e-08,"23275/2584/9563/26007/2548/4351/1374/55276/283209/5950/9104/3795/2592/2646/90673/5165/64080/2582/5105/4837/4485/283310/2585/23324/132158/25948/2203/3667",28,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0019318","GO:0019318","hexose metabolic process","26/423","228/18614",1.46702228058413e-11,2.8665615362614e-08,2.68001807153028e-08,"23275/2584/9563/26007/2548/4351/1374/55276/283209/5950/9104/3795/2592/2646/90673/5165/2582/5105/4837/4485/2585/23324/132158/25948/2203/3667",26,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0006631","GO:0006631","fatty acid metabolic process","31/423","394/18614",2.09138278540274e-09,2.72437464178464e-06,2.54708408706418e-06,"337/123876/8824/6296/2168/80724/11001/51084/570/1374/80221/873/116519/1576/9104/23659/341/345/2639/55268/56898/5165/2938/5105/127/145482/22937/57406/2944/27329/3667",31,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0016042","GO:0016042","lipid catabolic process","27/423","330/18614",1.03163027417384e-08,1.00790277786785e-05,9.42312810962477e-06,"337/2168/80724/11001/6822/1374/116519/1576/284161/22933/57552/23236/23659/341/345/2639/55268/56898/5105/285148/63874/57406/54905/27329/57704/5051/3667",27,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0044282","GO:0044282","small molecule catabolic process","29/423","388/18614",2.20096164168342e-08,1.72027161913976e-05,1.60832375963856e-05,"2584/2168/80724/4329/26007/11001/6822/1629/51084/1374/1576/125061/2592/23498/23659/2639/55268/56898/64080/2582/5105/9673/127/23576/54905/1428/132158/3034/3667",29,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0044242","GO:0044242","cellular lipid catabolic process","21/423","222/18614",3.91284980272792e-08,2.54856950484345e-05,2.382719590398e-05,"337/2168/80724/11001/1374/116519/284161/22933/23236/23659/341/345/2639/55268/56898/5105/57406/54905/27329/57704/3667",21,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0044262","GO:0044262","cellular carbohydrate metabolic process","24/423","290/18614",5.55238582639154e-08,3.09981768707688e-05,2.89809491780527e-05,"2584/26007/2548/2632/55276/9104/3795/2646/90673/5257/5165/2990/64080/5105/4204/4837/5256/2131/4485/2585/27329/8987/2203/3667",24,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0016054","GO:0016054","organic acid catabolic process","21/423","250/18614",2.95973794665948e-07,0.000128518398839392,0.000120154975588948,"2168/80724/4329/11001/6822/1629/51084/1374/125061/23498/23659/2639/55268/56898/5105/9673/23576/54905/1428/3034/3667",21,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0046395","GO:0046395","carboxylic acid catabolic process","21/423","250/18614",2.95973794665948e-07,0.000128518398839392,0.000120154975588948,"2168/80724/4329/11001/6822/1629/51084/1374/125061/23498/23659/2639/55268/56898/5105/9673/23576/54905/1428/3034/3667",21,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0071466","GO:0071466","cellular response to xenobiotic stimulus","18/423","189/18614",3.32693428633431e-07,0.000130016591909945,0.000121555672714383,"2947/8824/6822/873/2330/1576/57552/9647/57412/874/7410/2938/5621/9/7172/54905/2944/2203",18,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0008202","GO:0008202","steroid metabolic process","24/423","323/18614",4.10438612576599e-07,0.000145817645268123,0.000136328461651041,"337/9563/11001/6822/570/873/79799/2330/622/1576/341/10654/10941/51478/7108/4204/9885/22937/8542/8720/27329/1582/57704/1181",24,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0006805","GO:0006805","xenobiotic metabolic process","14/423","123/18614",8.0235675409761e-07,0.000261300849584455,0.000244296516971299,"2947/8824/6822/873/2330/1576/57552/57412/874/2938/9/7172/54905/2944",14,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0006066","GO:0006066","alcohol metabolic process","25/423","366/18614",1.12113183920484e-06,0.000337029479047116,0.000315097053755465,"337/2584/9563/26007/6822/2330/5950/1576/284161/23236/341/10654/51478/7108/5105/4204/127/9807/22937/8542/8720/27329/1798/57704/1181",25,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0006006","GO:0006006","glucose metabolic process","16/423","187/18614",6.06742763549431e-06,0.00169367908567941,0.00158346175359404,"9563/2548/1374/55276/283209/5950/9104/2646/90673/5165/5105/4837/4485/25948/2203/3667",16,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0072329","GO:0072329","monocarboxylic acid catabolic process","13/423","131/18614",9.18383709809771e-06,0.00235810942054879,0.00220465382716287,"2168/80724/11001/6822/51084/1374/23659/2639/55268/56898/5105/54905/3667",13,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0009410","GO:0009410","response to xenobiotic stimulus","26/423","440/18614",9.65449097461123e-06,0.00235810942054879,0.00220465382716287,"2947/8824/6822/1374/873/2330/210/1576/57552/9647/57412/874/7410/1027/2938/768/4837/5621/6506/9/7172/4773/54905/2944/1361/2203",26,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0016125","GO:0016125","sterol metabolic process","14/423","155/18614",1.24555669508037e-05,0.00276759980872869,0.00258749634652192,"337/6822/2330/1576/341/10654/51478/7108/22937/8542/8720/27329/1582/57704",14,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0010565","GO:0010565","regulation of cellular ketone metabolic process","13/423","135/18614",1.27473890883102e-05,0.00276759980872869,0.00258749634652192,"337/2168/9563/1374/116519/9104/23408/341/345/5165/22937/1181/3667",13,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0008203","GO:0008203","cholesterol metabolic process","13/423","140/18614",1.88720798851999e-05,0.00388168885217691,0.00362908527875507,"337/6822/2330/1576/341/10654/51478/7108/22937/8542/8720/27329/57704",13,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0016052","GO:0016052","carbohydrate catabolic process","14/423","162/18614",2.05661134647481e-05,0.00401861857101178,0.00375710420190214,"2584/26007/2548/1486/55276/2592/2990/64080/2582/23324/55526/132158/8987/2203",14,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0062012","GO:0062012","regulation of small molecule metabolic process","21/423","331/18614",2.46806660055313e-05,0.00459295441664841,0.00429406474712779,"337/2168/171425/9563/1374/116519/2330/9104/23408/341/345/2646/90673/5165/4837/22937/4485/8720/1181/2203/3667",21,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0050996","GO:0050996","positive regulation of lipid catabolic process","6/423","27/18614",2.62402458833736e-05,0.00466122185964655,0.00435788963929138,"337/2168/1374/116519/27329/3667",6,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0042180","GO:0042180","cellular ketone metabolic process","16/423","216/18614",3.66573105380159e-05,0.006228555199242,0.00582322768317863,"337/2168/9563/1374/873/116519/125061/9104/23408/341/345/5165/127/22937/1181/3667",16,"Downres_DEq_MS_X3H_vs_X5H"
"GO:1902652","GO:1902652","secondary alcohol metabolic process","13/423","150/18614",3.92275412533712e-05,0.00638755130075728,0.00597187700396717,"337/6822/2330/1576/341/10654/51478/7108/22937/8542/8720/27329/57704",13,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0006790","GO:0006790","sulfur compound metabolic process","20/423","319/18614",4.53612494394406e-05,0.00709087051237336,0.0066294272338652,"123876/6296/11001/6822/4669/570/80221/79717/2639/10654/5165/2938/2990/9953/2131/2944/6819/10402/3373/3141",20,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0005977","GO:0005977","glycogen metabolic process","9/423","75/18614",4.94921480801971e-05,0.00741569881265882,0.00693311710896374,"2548/2632/55276/3795/90673/5257/5256/8987/3667",9,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0051004","GO:0051004","regulation of lipoprotein lipase activity","5/423","19/18614",5.28970307983896e-05,0.00741569881265882,0.00693311710896374,"337/116519/341/345/27329",5,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0006073","GO:0006073","cellular glucan metabolic process","9/423","76/18614",5.50294947715215e-05,0.00741569881265882,0.00693311710896374,"2548/2632/55276/3795/90673/5257/5256/8987/3667",9,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0044042","GO:0044042","glucan metabolic process","9/423","76/18614",5.50294947715215e-05,0.00741569881265882,0.00693311710896374,"2548/2632/55276/3795/90673/5257/5256/8987/3667",9,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0019217","GO:0019217","regulation of fatty acid metabolic process","10/423","95/18614",5.96813479597589e-05,0.00777449026089126,0.00726855995678327,"337/2168/1374/116519/9104/341/345/5165/22937/3667",10,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0044264","GO:0044264","cellular polysaccharide metabolic process","10/423","96/18614",6.52933538588889e-05,0.00823117506066251,0.00769552567892032,"2548/2632/55276/3795/90673/5257/5256/2131/8987/3667",10,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0050994","GO:0050994","regulation of lipid catabolic process","8/423","61/18614",6.83164029158779e-05,0.00834314070610158,0.00780020508292803,"337/2168/1374/116519/341/345/27329/3667",8,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0061384","GO:0061384","heart trabecula morphogenesis","6/423","32/18614",7.29686362150112e-05,0.00864125546449285,0.00807891981825531,"5950/6654/2280/57211/54583/3516",6,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0046486","GO:0046486","glycerolipid metabolic process","22/423","385/18614",7.65803181095437e-05,0.00880223185800285,0.00822942056217419,"337/4547/1374/116519/5130/9104/284161/23236/23659/341/345/55697/23167/472/5105/4204/5291/63874/9807/254531/57406/5296",22,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0046503","GO:0046503","glycerolipid catabolic process","8/423","64/18614",9.67671937530852e-05,0.0108047483767731,0.0101016219403597,"337/116519/284161/23236/23659/341/345/57406",8,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0008206","GO:0008206","bile acid metabolic process","7/423","49/18614",0.000112222884819003,0.0121824176075739,0.0113896383978584,"11001/6822/570/10941/9885/1582/57704",7,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0019216","GO:0019216","regulation of lipid metabolic process","20/423","344/18614",0.00012773011932061,0.013491062332566,0.0126131221667663,"337/2168/9563/1374/116519/2330/9104/341/345/7410/5165/5105/22937/80207/345275/57406/8720/27329/1181/3667",20,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0009062","GO:0009062","fatty acid catabolic process","10/423","105/18614",0.000139339657602713,0.0143299837345106,0.0133974501811362,"2168/80724/11001/1374/23659/2639/55268/56898/5105/3667",10,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0072330","GO:0072330","monocarboxylic acid biosynthetic process","15/423","220/18614",0.000161353721274436,0.0159281254937182,0.0148915917655271,"337/123876/6296/11001/570/873/116519/1576/9104/341/345/9885/22937/2944/1582",15,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0005976","GO:0005976","polysaccharide metabolic process","10/423","107/18614",0.000163030967182376,0.0159281254937182,0.0148915917655271,"2548/2632/55276/3795/90673/5257/5256/2131/8987/3667",10,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0006112","GO:0006112","energy reserve metabolic process","9/423","89/18614",0.000189417943735306,0.0180547640028677,0.0168798378101476,"2548/2632/55276/3795/90673/5257/5256/8987/3667",9,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0045923","GO:0045923","positive regulation of fatty acid metabolic process","6/423","38/18614",0.000198130189724192,0.0184355424152891,0.01723583680533,"337/2168/1374/116519/9104/3667",6,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0046835","GO:0046835","carbohydrate phosphorylation","5/423","25/18614",0.000215998799533645,0.0190750234559826,0.0178337031772116,"2584/26007/3795/64080/2585",5,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0006000","GO:0006000","fructose metabolic process","4/423","14/18614",0.000219645868863669,0.0190750234559826,0.0178337031772116,"26007/3795/132158/2203",4,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0033700","GO:0033700","phospholipid efflux","4/423","14/18614",0.000219645868863669,0.0190750234559826,0.0178337031772116,"337/116519/341/345",4,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0009435","GO:0009435","NAD biosynthetic process","5/423","26/18614",0.000262473343584072,0.0222988223201425,0.0208477111116777,"125061/55191/23498/4837/554235",5,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0006637","GO:0006637","acyl-CoA metabolic process","9/423","94/18614",0.000286934625436357,0.023021726618755,0.0215235719155575,"123876/6296/11001/570/80221/79717/2639/10654/5165",9,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0035383","GO:0035383","thioester metabolic process","9/423","94/18614",0.000286934625436357,0.023021726618755,0.0215235719155575,"123876/6296/11001/570/80221/79717/2639/10654/5165",9,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0060347","GO:0060347","heart trabecula formation","4/423","15/18614",0.000294161842679765,0.023021726618755,0.0215235719155575,"5950/2280/57211/54583",4,"Downres_DEq_MS_X3H_vs_X5H"
