"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0060205","GO:0060205","cytoplasmic vesicle lumen","68/1406","325/19518",8.20170464409302e-16,3.25964022673484e-13,2.55247822632638e-13,"7018/8635/2821/9588/7414/5223/10493/210/1727/25801/5478/47/2517/51571/9798/8566/23593/1512/353/55313/411/1476/2171/79792/5274/6282/9961/410/55276/3417/8836/226/56954/51719/5211/28988/2760/5683/4790/5695/81/1992/4860/30/3240/29108/100/51071/29789/4282/26578/2588/23191/1432/10450/55860/5049/4831/374354/5580/23406/58485/5777/6993/302/317/175/10533",68,"Downres_DEq_MS_X1H_vs_X3H"
"GO:0031983","GO:0031983","vesicle lumen","68/1406","327/19518",1.13576314520378e-15,3.25964022673484e-13,2.55247822632638e-13,"7018/8635/2821/9588/7414/5223/10493/210/1727/25801/5478/47/2517/51571/9798/8566/23593/1512/353/55313/411/1476/2171/79792/5274/6282/9961/410/55276/3417/8836/226/56954/51719/5211/28988/2760/5683/4790/5695/81/1992/4860/30/3240/29108/100/51071/29789/4282/26578/2588/23191/1432/10450/55860/5049/4831/374354/5580/23406/58485/5777/6993/302/317/175/10533",68,"Downres_DEq_MS_X1H_vs_X3H"
"GO:0034774","GO:0034774","secretory granule lumen","67/1406","322/19518",1.79209699180111e-15,3.42887891097945e-13,2.68500145789148e-13,"7018/8635/2821/9588/7414/5223/10493/210/1727/25801/5478/47/2517/51571/9798/8566/23593/1512/353/55313/411/1476/2171/79792/5274/6282/9961/410/55276/3417/8836/226/56954/51719/5211/28988/2760/5683/4790/5695/81/1992/4860/30/3240/29108/51071/29789/4282/26578/2588/23191/1432/10450/55860/5049/4831/374354/5580/23406/58485/5777/6993/302/317/175/10533",67,"Downres_DEq_MS_X1H_vs_X3H"
"GO:1904813","GO:1904813","ficolin-1-rich granule lumen","36/1406","124/19518",2.09520820166097e-13,3.00662376938349e-11,2.35435237397166e-11,"2821/7414/327/5223/823/210/4048/5478/47/1512/411/1476/79792/9961/55276/3417/226/51719/5211/28988/5683/5695/4860/51071/4282/26578/1432/10450/11333/55860/5049/4831/23406/6993/317/10533",36,"Downres_DEq_MS_X1H_vs_X3H"
"GO:0101002","GO:0101002","ficolin-1-rich granule","43/1406","185/19518",4.42112133747998e-12,5.07544729542702e-10,3.97435539179779e-10,"2821/7414/327/1832/5223/823/210/3958/4048/5478/47/1512/411/1476/79792/5269/9961/55276/3417/226/2548/51719/5211/28988/5683/5695/4860/51071/4282/26578/1432/10450/51143/11333/55860/5049/4831/23406/6993/535/317/1604/10533",43,"Downres_DEq_MS_X1H_vs_X3H"
"GO:0005777","GO:0005777","peroxisome","35/1406","143/19518",9.35087205670582e-11,7.66771508649877e-09,6.00424416272690e-09,"2168/8309/55825/54996/26063/3422/2053/23600/25824/9380/3155/11001/6647/373156/10901/4598/84129/3417/7265/3156/7086/10654/30/390916/472/8799/8540/57506/5190/54677/570/5830/283927/5289/5824",35,"Downres_DEq_MS_X1H_vs_X3H"
"GO:0042579","GO:0042579","microbody","35/1406","143/19518",9.35087205670582e-11,7.66771508649877e-09,6.00424416272690e-09,"2168/8309/55825/54996/26063/3422/2053/23600/25824/9380/3155/11001/6647/373156/10901/4598/84129/3417/7265/3156/7086/10654/30/390916/472/8799/8540/57506/5190/54677/570/5830/283927/5289/5824",35,"Downres_DEq_MS_X1H_vs_X3H"
"GO:0005782","GO:0005782","peroxisomal matrix","18/1406","51/19518",6.91320051422329e-09,4.40908566129352e-07,3.45255744979339e-07,"2168/8309/2053/23600/25824/9380/3155/373156/10901/3417/30/390916/472/8540/54677/570/5830/283927",18,"Downres_DEq_MS_X1H_vs_X3H"
"GO:0031907","GO:0031907","microbody lumen","18/1406","51/19518",6.91320051422329e-09,4.40908566129352e-07,3.45255744979339e-07,"2168/8309/2053/23600/25824/9380/3155/373156/10901/3417/30/390916/472/8540/54677/570/5830/283927",18,"Downres_DEq_MS_X1H_vs_X3H"
"GO:0030496","GO:0030496","midbody","38/1406","203/19518",4.66727067617693e-08,2.38737888966605e-06,1.86944945147149e-06,"1500/22933/9798/5586/9101/23265/2664/6867/57026/10640/25932/311/84936/403/57132/128866/57448/822/5291/5300/29082/84062/25978/23568/27183/1060/7251/64780/60412/302/9525/91782/54536/6683/51652/5289/57149/11104",38,"Downres_DEq_MS_X1H_vs_X3H"
