"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0062023","GO:0062023","collagen-containing extracellular matrix","53/466","415/19518",1.02559979472283e-23,3.88702322199953e-21,3.21714461923583e-21,"2335/11117/1191/7448/7052/7045/2243/2244/80144/4060/3339/4969/1291/7869/5046/348/2266/80781/10082/255743/7060/1311/4240/2162/2331/2267/5340/27286/5176/5054/375790/3697/64856/3956/1293/5345/1462/10631/1306/4811/27329/1292/7040/7057/3911/1490/7076/5104/2/1/1893/1522/84171",53,"Downres_DEq_MS_X5_vs_X5H"
"GO:0034774","GO:0034774","secretory granule lumen","40/466","322/19518",1.08835157263357e-17,1.78336652035897e-15,1.4760261715511e-15,"2335/718/5768/1191/2243/2244/2934/2266/83706/2162/3699/5340/5054/5834/178/55276/5836/23406/2153/1432/5345/23526/5777/79792/10120/6282/4069/2950/29108/7040/7057/7076/6386/203068/2/2157/1/10533/1893/1522",40,"Downres_DEq_MS_X5_vs_X5H"
"GO:0060205","GO:0060205","cytoplasmic vesicle lumen","40/466","325/19518",1.51379648193443e-17,1.78336652035897e-15,1.4760261715511e-15,"2335/718/5768/1191/2243/2244/2934/2266/83706/2162/3699/5340/5054/5834/178/55276/5836/23406/2153/1432/5345/23526/5777/79792/10120/6282/4069/2950/29108/7040/7057/7076/6386/203068/2/2157/1/10533/1893/1522",40,"Downres_DEq_MS_X5_vs_X5H"
"GO:0031983","GO:0031983","vesicle lumen","40/466","327/19518",1.88218102412556e-17,1.78336652035897e-15,1.4760261715511e-15,"2335/718/5768/1191/2243/2244/2934/2266/83706/2162/3699/5340/5054/5834/178/55276/5836/23406/2153/1432/5345/23526/5777/79792/10120/6282/4069/2950/29108/7040/7057/7076/6386/203068/2/2157/1/10533/1893/1522",40,"Downres_DEq_MS_X5_vs_X5H"
"GO:0072562","GO:0072562","blood microparticle","25/466","144/19518",6.92910870071475e-15,5.25226439514178e-13,4.34710398486947e-13,"2335/3043/718/1191/7448/735/2243/2244/3040/348/2934/2266/2162/5340/3697/3046/5345/716/7040/6386/2/1/2638/722/715",25,"Downres_DEq_MS_X5_vs_X5H"
"GO:0031093","GO:0031093","platelet alpha granule lumen","18/466","67/19518",1.46385174823485e-14,9.24666354301678e-13,7.65311966621025e-13,"2335/5768/1191/2243/2244/2266/83706/2162/5340/5054/2153/5345/7040/7057/7076/2/2157/1",18,"Downres_DEq_MS_X5_vs_X5H"
"GO:0031091","GO:0031091","platelet alpha granule","20/466","91/19518",3.30959675353316e-14,1.7919102422701e-12,1.48309749256073e-12,"2335/5768/1191/2243/2244/2266/83706/2162/5340/5054/2153/26276/5345/7040/7057/7076/5104/2/2157/1",20,"Downres_DEq_MS_X5_vs_X5H"
"GO:0005788","GO:0005788","endoplasmic reticulum lumen","33/466","312/19518",8.59431401337318e-13,4.07155626383554e-11,3.36987575787527e-11,"2335/718/5768/1191/7448/2243/116519/1291/348/2266/80781/11093/4240/147111/64856/80341/3956/2153/64374/1293/652/1462/64222/27348/1306/10148/8720/3990/1292/7057/7076/2157/1522",33,"Downres_DEq_MS_X5_vs_X5H"
"GO:0005604","GO:0005604","basement membrane","15/466","84/19518",1.22315290261858e-09,5.15083277880492e-08,4.26315280678758e-08,"2335/7448/7045/80144/3339/80781/255743/7060/5176/375790/64856/1306/4811/3911/7076",15,"Downres_DEq_MS_X5_vs_X5H"
"GO:0005938","GO:0005938","cell cortex","24/466","302/19518",2.98963664622105e-07,1.13307228891778e-05,9.37801811130392e-06,"2244/2934/1639/23406/6624/4627/285527/60412/83737/9322/11151/10121/4643/54536/23332/1490/55752/6249/23122/151011/2023/90102/1522/57553",24,"Downres_DEq_MS_X5_vs_X5H"
"GO:0005775","GO:0005775","vacuolar lumen","17/466","176/19518",1.15191802709954e-06,3.96888120246115e-05,3.28489542656137e-05,"718/4060/3339/4969/10082/2331/375790/5834/1462/5538/23526/4069/29108/3373/6386/203068/2638",17,"Downres_DEq_MS_X5_vs_X5H"
