"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0016878","GO:0016878","acid-thiol ligase activity","7/321","31/18369",8.54938701789788e-07,0.000482185427809441,0.000396871544725575,"123876/79611/11001/8801/6296/80221/197322",7,"Downres_DEq_MS_X3_vs_X5"
"GO:0016405","GO:0016405","CoA-ligase activity","6/321","27/18369",5.902549216458e-06,0.000956810883788403,0.000787520716220018,"123876/79611/11001/6296/80221/197322",6,"Downres_DEq_MS_X3_vs_X5"
"GO:0016877","GO:0016877","ligase activity, forming carbon-sulfur bonds","7/321","41/18369",6.29201368317715e-06,0.000956810883788403,0.000787520716220018,"123876/79611/11001/8801/6296/80221/197322",7,"Downres_DEq_MS_X3_vs_X5"
"GO:0016746","GO:0016746","acyltransferase activity","16/321","253/18369",1.03588963379096e-05,0.000956810883788403,0.000787520716220018,"123876/171425/570/6296/1374/1384/7052/9/1629/92292/64172/9926/51099/387787/63874/5051",16,"Downres_DEq_MS_X3_vs_X5"
"GO:0033293","GO:0033293","monocarboxylic acid binding","9/321","80/18369",1.06050560754159e-05,0.000956810883788403,0.000787520716220018,"341/5095/213/5948/2168/10247/1629/54905/54576",9,"Downres_DEq_MS_X3_vs_X5"
"GO:0016747","GO:0016747","acyltransferase activity, transferring groups other than amino-acyl groups","15/321","226/18369",1.10386898956394e-05,0.000956810883788403,0.000787520716220018,"123876/570/6296/1374/1384/7052/9/1629/92292/64172/9926/51099/387787/63874/5051",15,"Downres_DEq_MS_X3_vs_X5"
"GO:0008238","GO:0008238","exopeptidase activity","10/321","102/18369",1.18753123874447e-05,0.000956810883788403,0.000787520716220018,"10404/1200/4224/5547/1803/7512/64167/54504/10004/1369",10,"Downres_DEq_MS_X3_vs_X5"
"GO:0005504","GO:0005504","fatty acid binding","7/321","49/18369",2.13294548333331e-05,0.00150372656574999,0.0012376696817763,"341/213/5948/2168/10247/1629/54576",7,"Downres_DEq_MS_X3_vs_X5"
"GO:0015645","GO:0015645","fatty acid ligase activity","5/321","22/18369",3.25795045059018e-05,0.00204164894903651,0.00168041654819915,"123876/11001/6296/80221/197322",5,"Downres_DEq_MS_X3_vs_X5"
"GO:0031406","GO:0031406","carboxylic acid binding","13/321","200/18369",5.27425905569167e-05,0.0029746821074101,0.00244836657216845,"5033/341/5095/213/5948/2168/5105/10247/10536/1629/54749/54905/54576",13,"Downres_DEq_MS_X3_vs_X5"
"GO:0043177","GO:0043177","organic acid binding","13/321","212/18369",9.55158804012154e-05,0.00489735968602595,0.00403086155568765,"5033/341/5095/213/5948/2168/5105/10247/10536/1629/54749/54905/54576",13,"Downres_DEq_MS_X3_vs_X5"
"GO:0016798","GO:0016798","hydrolase activity, acting on glycosyl bonds","10/321","132/18369",0.000109755499872617,0.00507052297670542,0.0041733867725403,"2548/2720/4669/4668/1486/23324/27293/28992/2990/3556",10,"Downres_DEq_MS_X3_vs_X5"
