"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","name"
"hsa04610","hsa04610","Complement and coagulation cascades","28/314","86/8779",4.97973263581832e-20,1.33456834639931e-17,1.23182859938664e-17,"718/2244/722/2266/2243/5054/7448/1191/727/5345/5104/5340/716/2153/2162/5265/732/725/730/735/462/5648/2158/7035/715/729/5270/720",28,"Upres_DEq_MS_X1H_vs_X3H"
"hsa04512","hsa04512","ECM-receptor interaction","25/314","89/8779",2.8257286232155e-16,3.78647635510877e-14,3.49498013924023e-14,"3339/2335/1293/3915/3912/7057/1291/7448/255743/1311/5649/80144/7060/6385/375790/1292/3909/1280/3911/3688/3673/3371/3913/3690/3672",25,"Upres_DEq_MS_X1H_vs_X3H"
"hsa03030","hsa03030","DNA replication","13/314","36/8779",1.34942235916353e-10,1.20548397418609e-08,1.112681594398e-08,"4174/4176/4171/4175/4172/4173/5984/5983/5985/5558/5424/5982/5426",13,"Upres_DEq_MS_X1H_vs_X3H"
"hsa04979","hsa04979","Cholesterol metabolism","14/314","51/8779",1.64375363353934e-09,1.10131493447136e-07,1.01653185232038e-07,"338/348/4035/335/55908/345/5360/27329/949/341/3931/336/350/3990",14,"Upres_DEq_MS_X1H_vs_X3H"
"hsa03008","hsa03008","Ribosome biogenesis in eukaryotes","23/314","167/8779",2.36436408944455e-08,1.26729915194228e-06,1.16973802319888e-06,"55127/26354/23560/29889/84135/92856/84916/55226/23195/10813/51096/55813/10436/84128/23160/10885/10607/55272/28987/10556/27341/10799/4931",23,"Upres_DEq_MS_X1H_vs_X3H"
"hsa04510","hsa04510","Focal adhesion","24/314","202/8779",2.06405464879462e-07,9.21944409794929e-06,8.50969899064447e-06,"2335/1293/3915/3912/7057/1291/7448/1311/5649/7060/1292/3909/1280/3911/3688/3673/3611/3371/3913/3690/5578/3672/4638/8394",24,"Upres_DEq_MS_X1H_vs_X3H"
"hsa03082","hsa03082","ATP-dependent chromatin remodeling","15/314","117/8779",1.66865348450754e-05,0.000638855905497171,0.000589674539638002,"1108/6594/8467/5928/6599/54815/57634/9031/53615/64769/196528/10902/54617/6944/11176",15,"Upres_DEq_MS_X1H_vs_X3H"
"hsa05144","hsa05144","Malaria","8/314","50/8779",0.000354346219787675,0.0118705983628871,0.0109567581118557,"7057/4035/1311/7040/7060/975/3043/3040",8,"Upres_DEq_MS_X1H_vs_X3H"
"hsa04820","hsa04820","Cytoskeleton in muscle cells","19/314","232/8779",0.000638714243263846,0.0180428975032708,0.0166538920395469,"3339/2335/1293/7057/1291/1311/4811/7060/6385/375790/1292/3688/2192/3673/23353/1462/3690/3672/7273",19,"Upres_DEq_MS_X1H_vs_X3H"
"hsa05171","hsa05171","Coronavirus disease - COVID-19","19/314","233/8779",0.000673242444151896,0.0180428975032708,0.0166538920395469,"718/2244/2266/2243/727/716/2162/732/730/735/5648/715/729/6156/6165/6155/5578/3716/720",19,"Upres_DEq_MS_X1H_vs_X3H"
"hsa03410","hsa03410","Base excision repair","7/314","44/8779",0.000858691707612528,0.0209208525127416,0.0193102919893726,"5984/5983/5985/5424/4913/5982/5426",7,"Upres_DEq_MS_X1H_vs_X3H"
"hsa04151","hsa04151","PI3K-Akt signaling pathway","25/314","359/8779",0.00106750104218074,0.0231168546722562,0.0213372382088775,"2335/1293/3915/3912/7057/1291/7448/1311/5649/7060/1292/3909/1280/3911/3688/3673/3371/3913/3690/5578/3481/1969/3672/2264/3716",25,"Upres_DEq_MS_X1H_vs_X3H"
"hsa03430","hsa03430","Mismatch repair","5/314","23/8779",0.00112133996544526,0.0231168546722562,0.0213372382088775,"5984/5983/5985/5424/5982",5,"Upres_DEq_MS_X1H_vs_X3H"
"hsa05165","hsa05165","Human papillomavirus infection","23/314","331/8779",0.00172985529019191,0.0331143726979594,0.0305651122703082,"2335/1293/3915/3912/7057/1291/7448/1311/5649/4854/1108/7060/1292/3909/1280/3911/3688/3673/3371/3913/3690/3672/3716",23,"Upres_DEq_MS_X1H_vs_X3H"
