Genes,ProtDesc,X1_vs_X1H,Diff_Abund,negLog10_sca_adjPval,sca.t,sca.P.Value,AveExpr,count,sca.adj.pval,P.Value,adj.P.Val,logFC
FGA,Fibrinogen alpha chain,4.45,Up in X1H,15.831,241.275067021042,2.4954282066135698e-20,22.63,43,1.47654486985325e-16,2.83734790306469e-16,1.6788587542433799e-12,4.45
C3,Complement C3,5.35,Up in X1H,13.655,137.165597611697,7.47504010130461e-18,21.99,101,2.21149061397097e-14,1.2373744854824e-15,3.3480072336680996e-12,5.35
FGB,Fibrinogen beta chain,5.58,Up in X1H,13.387,122.397192383804,2.36059860846376e-17,22.36,28,4.10011985624715e-14,1.69748549957822e-15,3.3480072336680996e-12,5.58
FGG,Fibrinogen gamma chain,4.12,Up in X1H,13.387,120.46555255149,2.7717558602312998e-17,22.65,39,4.10011985624715e-14,5.952204221047591e-15,8.80479809398464e-12,4.12
HSPG2,Basement membrane-specific heparan sulfate proteoglycan core protein,5.41,Up in X1H,12.656,99.7148794334988,1.86789072765311e-16,18.81,86,2.21046188710469e-13,9.01062585939844e-15,1.0663174642012099e-11,5.41
FN1,Fibronectin,4.49,Up in X1H,12.181,87.8853914721697,6.67854787538746e-16,23.65,127,6.5861612964446e-13,3.45912548241114e-14,2.92394935420382e-11,4.49
APOE,Apolipoprotein E,3.4,Up in X1H,12.05,83.9900436942262,1.05509221994844e-15,23.72,28,8.91854380776418e-13,8.182050599569991e-14,6.05164917470695e-11,3.4
S,Large envelope protein,9.73,Up in X1H,11.632,75.3423412334094,3.15644442330498e-15,19.46,4,2.33458520658695e-12,1.32711588801081e-14,1.3087574515599898e-11,9.73
APOB,Apolipoprotein B-100,2.14,Up in X1H,11.483,71.9778911466732,5.003112054740251e-15,22.74,206,3.28926822532201e-12,1.62801284032661e-12,7.72109842014081e-10,2.14
THBS1,Thrombospondin-1,6.83,Up in X1H,10.925,62.7078816981112,2.00796077299501e-14,19.92,38,1.18811038938115e-11,2.53511647000379e-13,1.5000284153012501e-10,6.83
C,Capsid protein,8.83,Up in X1H,10.606,57.7434123570962,4.60903320634045e-14,18.53,4,2.4792408619924e-11,2.10085665916366e-13,1.38119653914126e-10,8.83
GSN,Gelsolin,4.16,Up in X1H,10.196,52.124359992121,1.29209046241879e-13,20.33,26,6.37108272177664e-11,1.7880652116548798e-12,7.72109842014081e-10,4.16
DPP4,Dipeptidyl peptidase 4,1.69,Up in X1H,10.15,50.7998404707067,1.67417563430169e-13,18.52,24,7.0757837344022e-11,1.62585255253116e-11,4.1560501425920504e-9,1.69
VTN,Vitronectin,6.02,Up in X1H,10.15,50.8503114129599,1.6575275989207e-13,21.84,13,7.0757837344022e-11,1.4777789166613398e-12,7.72109842014081e-10,6.02
CEMIP,Cell migration-inducing and hyaluronan-binding protein,3.12,Up in X1H,10.15,50.1562694610867,1.90337064541341e-13,19.99,41,7.08431608847897e-11,3.92141402941884e-12,1.51286545249309e-9,3.12
EMILIN1,EMILIN-1,2.9,Up in X1H,10.15,49.9084381031957,2.00064886329069e-13,18.95,29,7.08431608847897e-11,4.34657980266731e-12,1.51286545249309e-9,2.9
TGFBI,Transforming growth factor-beta-induced protein ig-h3,7.31,Up in X1H,10.15,49.8231499599927,2.03537896745213e-13,18.87,24,7.08431608847897e-11,1.82686121145803e-12,7.72109842014081e-10,7.31
COL18A1,Collagen alpha-1(XVIII) chain,2.33,Up in X1H,9.971,47.5588462225697,3.24989475230507e-13,19.96,16,1.06831262496606e-10,6.88350382995598e-12,2.26276067565831e-9,2.33
F13A1,Coagulation factor XIII A chain,7.22,Up in X1H,9.486,42.3249982160983,1.04937032984349e-12,17.6,4,3.2679601272020703e-10,4.3450909832978096e-12,1.51286545249309e-9,7.22
APOA1,Apolipoprotein A-I,1.66,Up in X1H,9.481,42.0643785215446,1.11655863441264e-12,21.84,20,3.3033387199098e-10,4.5382480978567395e-11,8.95093799833945e-9,1.66
FGL1,Fibrinogen-like protein 1,6.9,Up in X1H,9.48,41.854598952593,1.1740776574143499e-12,17.48,9,3.30810357091464e-10,7.83911963117313e-12,2.44126688724481e-9,6.9
LAMC1,Laminin subunit gamma-1,1.95,Up in X1H,9.435,41.2303027228946,1.36541352552619e-12,18.72,30,3.67234174115386e-10,4.13800809423052e-11,8.44296341157309e-9,1.95
