"Genes","ProtDesc","logFC","Diff_Abund","negLog10_sca_adjPval","sca.t","sca.P.Value","AveExpr","count","sca.adj.pval","P.Value","adj.P.Val"
"FTL","Ferritin light chain",-5.11,"Up in X1",8.905,-45.7499269079278,3.84596964020671e-13,20.35,12,1.24352280676928e-09,3.94450253828298e-12,2.33396215190204e-08
"IGSF1","Immunoglobulin superfamily member 1",2.3,"Up in X3",8.905,43.7472004089161,6.05859460242629e-13,18.33,24,1.24352280676928e-09,1.46185357268243e-11,3.25237493719988e-08
"TST","Thiosulfate sulfurtransferase",1.3,"Up in X3",8.905,43.5758338922989,6.30483086075349e-13,20.63,19,1.24352280676928e-09,6.03677440073276e-11,7.67324509748312e-08
"F10","Coagulation factor X",2.89,"Up in X3",8.647,39.9426134457063,1.52497307900968e-12,18.08,12,2.25581642712508e-09,1.64899861612298e-11,3.25237493719988e-08
"PBXIP1","Pre-B-cell leukemia transcription factor-interacting protein 1",1.75,"Up in X3",8.506,37.8479448886421,2.63277539212952e-12,18.79,19,3.11562639904608e-09,6.48406717718702e-11,7.67324509748312e-08
"FDFT1","Squalene synthase",1.87,"Up in X3",8.383,36.1441910176721,4.19822381236834e-12,22.16,19,4.14014838296391e-09,8.07085230573749e-11,7.95920551550812e-08
"MTTP","Microsomal triglyceride transfer protein large subunit",1.27,"Up in X3",8.249,34.5300529654762,6.66714220030441e-12,21.47,43,5.63564005702874e-09,3.92737452514366e-10,2.3238275065275e-07
"FN1","Fibronectin",-1.91,"Up in X1",8.219,-33.8466318124826,8.16188492713672e-12,20.45,127,6.0367341392335e-09,1.58377261508654e-10,1.17139782043338e-07
"BDH1","D-beta-hydroxybutyrate dehydrogenase, mitochondrial",2.13,"Up in X3",8.02,31.9697037277747,1.45327006668667e-11,19.29,12,9.5544433162056e-09,1.37438395362393e-10,1.16174712194183e-07
"VCL","Vinculin",0.87,"Up in X3",7.899,30.7802747003461,2.13166211236271e-11,19.52,40,1.26130447188502e-08,3.0684477586636e-09,6.72444644000465e-07
"PROS1","Vitamin K-dependent protein S",1.68,"Up in X3",7.826,29.9836329112673,2.77787330223061e-11,18.16,15,1.4942433026635e-08,3.50679307046154e-10,2.30552162199122e-07
"ACSF2","Medium-chain acyl-CoA ligase ACSF2, mitochondrial",1.28,"Up in X3",7.797,28.5298923570965,4.58656571359075e-11,19.05,24,1.59639466631273e-08,1.08097613525007e-09,3.76243281898509e-07
"C3","Complement C3",1.2,"Up in X3",7.797,29.2454243140036,3.57252282454077e-11,19.92,101,1.59639466631273e-08,1.32794302414648e-09,4.07307330809848e-07
"DDX21","ATP-dependent RNA helicase DDX50;Nucleolar RNA helicase 2",-1.16,"Up in X1",7.797,-28.5642414059746,4.53124962245227e-11,21.07,36,1.59639466631273e-08,1.59181510993797e-09,4.09511739369693e-07
"KPNA2","Importin subunit alpha-1",-1.9,"Up in X1",7.797,-28.7058659821954,4.31078118604769e-11,19.87,19,1.59639466631273e-08,4.86263169674845e-10,2.39768264580505e-07
"RIF1","Telomere-associated protein RIF1",-1.34,"Up in X1",7.797,-29.0020316298196,3.88679866496707e-11,17.19,18,1.59639466631273e-08,7.3665519394224e-10,2.92923727987029e-07
"TF","Serotransferrin",1.43,"Up in X3",7.797,29.4651083406593,3.31268324527672e-11,21.79,58,1.59639466631273e-08,8.01447825135010e-10,2.96385423832741e-07
"MKI67","Proliferation marker protein Ki-67",-2.01,"Up in X1",7.662,-27.5071927183591,6.62661250447943e-11,18.17,40,2.17831478827804e-08,7.42581700153022e-10,2.92923727987029e-07
"ANPEP","Aminopeptidase N",0.93,"Up in X3",7.655,27.3183474632194,7.10285841988786e-11,21.12,43,2.21197964581455e-08,4.44968249757386e-09,8.05552797350784e-07
"TOP2A","DNA topoisomerase 2-alpha;DNA topoisomerase 2-alpha;DNA topoisomerase 2-beta",-1.49,"Up in X1",7.634,-27.0466789699849,7.85511407993216e-11,19.99,10,2.32393550054793e-08,5.8037023498788e-10,2.64157744647945e-07
"PECR","Peroxisomal trans-2-enoyl-CoA reductase",0.8,"Up in X3",7.623,26.8504610467923,8.45272466290245e-11,21.22,22,2.38165580144732e-08,6.20981449895445e-09,9.17711653093854e-07
"SORL1","Sortilin-related receptor",1.55,"Up in X3",7.622,26.7203523595334,8.87640995452155e-11,18.82,53,2.38735080458655e-08,1.37673595000794e-09,4.07307330809848e-07
"CHDH","Choline dehydrogenase, mitochondrial",0.96,"Up in X3",7.597,26.4501921290469,9.83253436742944e-11,20.54,22,2.52907572875287e-08,3.58426122313794e-09,7.31312884734731e-07
"CTNND1","Catenin delta-1",0.73,"Up in X3",7.597,26.1303795880848,1.11130588047278e-10,20.39,35,2.52907572875287e-08,1.41141705754954e-08,1.37065464902162e-06
"FTH1","Ferritin heavy chain",-4.48,"Up in X1",7.597,-26.2817734558758,1.04854295774988e-10,18.17,5,2.52907572875287e-08,4.76826811669029e-10,2.39768264580505e-07
"H6PD","GDH/6PGL endoplasmic bifunctional protein",1.73,"Up in X3",7.597,26.1480884951574,1.10375586395925e-10,18.46,25,2.52907572875287e-08,1.24664851315319e-09,4.07307330809848e-07
"HMGCL","Hydroxymethylglutaryl-CoA lyase, mitochondrial",1.05,"Up in X3",7.583,25.951725907344,1.19072296995994e-10,19.29,15,2.60944733824184e-08,2.2568174165642e-09,5.56399527242099e-07
"CYP51A1","Lanosterol 14-alpha demethylase",1.02,"Up in X3",7.564,25.6539869008205,1.33726827981424e-10,20.53,24,2.72848841781409e-08,3.90577591314478e-09,7.70349202602589e-07
"LSS","Lanosterol synthase",0.95,"Up in X3",7.564,25.7041320855911,1.31126105042066e-10,20.03,31,2.72848841781409e-08,5.45556717574157e-09,8.49489236285865e-07
"ENTPD5","Ectonucleoside triphosphate diphosphohydrolase 5",1.25,"Up in X3",7.532,25.3785065745361,1.49062014824132e-10,18.42,12,2.93999980571463e-08,1.50879173892355e-09,4.09511739369693e-07
"POLRMT","DNA-directed RNA polymerase, mitochondrial",-1.03,"Up in X1",7.443,-24.7865583442112,1.88965883464167e-10,18.45,23,3.60681010470153e-08,4.65875960284676e-09,8.05552797350784e-07
"IREB2","Iron-responsive element-binding protein 2",1.94,"Up in X3",7.377,24.338860390991,2.26930956926905e-10,16.62,12,4.19609522542655e-08,1.56465784405676e-09,4.09511739369693e-07
"MEP1A","Meprin A subunit alpha",1.28,"Up in X3",7.32,23.9458353202118,2.67221408965876e-10,18.32,14,4.79136083894269e-08,2.81218978876266e-09,6.39989499234949e-07
"CDH1","Cadherin-1",1.28,"Up in X3",7.174,23.0224489707539,3.96428821483588e-10,19.85,20,6.70191239062397e-08,4.76497345061305e-09,8.05552797350784e-07
"FGB","Fibrinogen beta chain",1.32,"Up in X3",7.174,23.0689823854788,3.88486041046826e-10,20.23,28,6.70191239062397e-08,4.99294115039369e-09,8.12601974535765e-07
"FGA","Fibrinogen alpha chain",0.96,"Up in X3",7.121,22.6796242247131,4.60739726493975e-10,20.89,43,7.57276933795791e-08,1.23468104245743e-08,1.32829231422193e-06
"SQSTM1","Sequestosome-1",-2.56,"Up in X1",7.114,-22.5822180784991,4.8103891961541e-10,19.39,10,7.69272239828211e-08,2.60884317022728e-09,6.17461001529393e-07
"ACOX2","Peroxisomal acyl-coenzyme A oxidase 2",1.19,"Up in X3",7.089,22.3555952713617,5.32166276939506e-10,18.88,25,8.14968148844764e-08,7.27918970224023e-09,1.00165035972455e-06
"BCAM","Basal cell adhesion molecule",0.8,"Up in X3",7.089,22.302359714193,5.45022252785193e-10,19.88,19,8.14968148844764e-08,1.62279038710364e-08,1.4341832972679e-06
"NUP210","Nuclear pore membrane glycoprotein 210",0.69,"Up in X3",7.089,22.2783424979097,5.50933343819343e-10,19.79,44,8.14968148844764e-08,4.1258897166074e-08,2.59711589927298e-06
