"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0071162","GO:0071162","CMG complex","4/43","11/19518",6.66198493941734e-09,6.63470687245117e-07,4.88348032558733e-07,"4174/4171/4175/4172",4,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0031261","GO:0031261","DNA replication preinitiation complex","4/43","12/19518",9.97700281571604e-09,6.63470687245117e-07,4.88348032558733e-07,"4174/4171/4175/4172",4,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0098687","GO:0098687","chromosomal region","9/43","390/19518",1.43241104492466e-07,6.35035563249934e-06,4.67418340975416e-06,"4174/4171/10051/4175/64151/4172/147841/115426/2146",9,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0000228","GO:0000228","nuclear chromosome","6/43","223/19518",8.90648439931635e-06,0.000296140606277268,0.000217974486614847,"4174/4171/10051/4175/64151/4172",6,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0000781","GO:0000781","chromosome, telomeric region","5/43","169/19518",3.38337732277071e-05,0.000899978367857009,0.000662429665300371,"4174/4171/4175/4172/2146",5,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0032993","GO:0032993","protein-DNA complex","5/43","225/19518",0.000131178188367143,0.00290778317547168,0.0021402757049376,"4174/4171/4175/4172/6667",5,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0000775","GO:0000775","chromosome, centromeric region","5/43","249/19518",0.000210339861284259,0.00399645736440093,0.00294159505254679,"10051/64151/147841/115426/2146",5,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0000792","GO:0000792","heterochromatin","3/43","81/19518",0.000753918564876066,0.0125338961410646,0.00922558243861502,"115426/53615/2146",3,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0005721","GO:0005721","pericentric heterochromatin","2/43","30/19518",0.0019831118609495,0.029305986389587,0.0215706904173454,"115426/2146",2,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0005874","GO:0005874","microtubule","5/43","461/19518",0.00330628183288755,0.0403349212046239,0.029688545089276,"51473/80346/56992/9545/11104",5,"Downres_DEq_MS_X3H_vs_X5H"
"GO:0032040","GO:0032040","small-subunit processome","2/43","39/19518",0.00333597092669822,0.0403349212046239,0.029688545089276,"51077/345630",2,"Downres_DEq_MS_X3H_vs_X5H"
