"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0005759","GO:0005759","mitochondrial matrix","19/169","484/19518",4.36048102316764e-08,9.02619571795701e-06,8.21606424365271e-06,"622/80221/4329/55902/3155/2110/593/35/112817/84693/1629/6296/55217/196074/80724/11232/387787/25973/55526",19,"Upres_DEq_MS_X1H_vs_X5H"
"GO:0043202","GO:0043202","lysosomal lumen","9/169","98/19518",1.79767929625618e-07,1.86059807162514e-05,1.69360312647293e-05,"8635/1200/2548/2517/4669/54749/138050/2588/2990",9,"Upres_DEq_MS_X1H_vs_X5H"
"GO:0005788","GO:0005788","endoplasmic reticulum lumen","12/169","312/19518",1.83028841637899e-05,0.00120623917674824,0.00109797514690025,"4547/8824/5033/9563/7018/8635/4241/2155/285362/54905/10148/64167",12,"Upres_DEq_MS_X1H_vs_X5H"
"GO:0005775","GO:0005775","vacuolar lumen","9/169","176/19518",2.33089695989997e-05,0.00120623917674824,0.00109797514690025,"8635/1200/2548/2517/4669/54749/138050/2588/2990",9,"Upres_DEq_MS_X1H_vs_X5H"
"GO:0005777","GO:0005777","peroxisome","7/169","143/19518",0.000251033536330061,0.00866065700338712,0.00788333386018964,"55825/54996/8309/3155/23600/10654/390916",7,"Upres_DEq_MS_X1H_vs_X5H"
"GO:0042579","GO:0042579","microbody","7/169","143/19518",0.000251033536330061,0.00866065700338712,0.00788333386018964,"55825/54996/8309/3155/23600/10654/390916",7,"Upres_DEq_MS_X1H_vs_X5H"
"GO:0005782","GO:0005782","peroxisomal matrix","4/169","51/19518",0.0009872576197058,0.0255452909098876,0.0232525149904392,"8309/3155/23600/390916",4,"Upres_DEq_MS_X1H_vs_X5H"
"GO:0031907","GO:0031907","microbody lumen","4/169","51/19518",0.0009872576197058,0.0255452909098876,0.0232525149904392,"8309/3155/23600/390916",4,"Upres_DEq_MS_X1H_vs_X5H"
"GO:0031970","GO:0031970","organelle envelope lumen","5/169","94/19518",0.00135329351994336,0.0311257509586972,0.0283321099496913,"6653/8635/10628/824/100272147",5,"Upres_DEq_MS_X1H_vs_X5H"
"GO:0005741","GO:0005741","mitochondrial outer membrane","7/169","208/19518",0.00227215554257326,0.0470336197312665,0.042812193907433,"54996/1374/665/664/670/666/374986",7,"Upres_DEq_MS_X1H_vs_X5H"
