"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0042254","GO:0042254","ribosome biogenesis","92/538","298/18614",2.73848499428913e-69,1.18603785102662e-65,9.93349398981087e-66,"9188/55127/4839/9221/5394/23481/25879/9277/1662/23560/10514/27340/55661/29889/79039/55003/25926/51202/23223/84135/54606/64216/92856/84916/55226/84365/23195/23246/54663/51575/8602/705/55695/11340/8886/79050/10813/57647/51096/9136/23517/55813/10436/84128/54475/51042/64434/51018/29997/285855/23160/10885/79954/29777/10607/25983/5393/55272/26284/55299/54555/11056/55153/57602/28987/27292/80135/51388/55759/10556/84769/51001/22868/10412/4869/11103/153443/56915/6165/56342/2483/29063/55035/51118/27341/10799/6155/57109/84154/51335/84864/4931",92,"Downres_DEq_MS_X1H_vs_X3H"
"GO:0006364","GO:0006364","rRNA processing","76/538","218/18614",1.28874829459523e-61,2.79078443194597e-58,2.33738243325008e-58,"9188/55127/4839/9221/5394/23481/25879/9277/1662/23560/27340/55661/79039/25926/51202/23223/84135/54606/64216/92856/84916/55226/84365/23246/54663/51575/8602/705/55695/11340/8886/79050/10813/57647/51096/9136/23517/55813/10436/84128/51018/29997/285855/23160/10885/79954/29777/10607/25983/5393/55272/55299/54555/11056/57602/28987/27292/80135/55759/10556/10412/11103/153443/56915/6165/56342/2483/29063/55035/51118/27341/10799/6155/57109/84154/4931",76,"Downres_DEq_MS_X1H_vs_X3H"
"GO:0016072","GO:0016072","rRNA metabolic process","80/538","257/18614",1.99028596925055e-60,2.87330951094138e-57,2.40650015790786e-57,"9188/55127/4839/9221/5394/23481/25879/9277/1662/23560/27340/55661/79039/25926/51202/23223/84135/54606/64216/92856/84916/55226/84365/23246/54663/51575/8602/705/55695/11340/8886/79050/10813/57647/51096/9136/23517/55813/10436/84128/51018/29997/285855/23160/10885/79954/29777/10607/25983/5393/55272/55299/54555/11056/57602/28987/9328/27292/80135/55759/10556/64425/10412/11103/153443/56915/84172/6165/10849/56342/2483/29063/55035/51118/27341/10799/6155/57109/84154/4931",80,"Downres_DEq_MS_X1H_vs_X3H"
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis","97/538","475/18614",8.65564065481839e-55,9.37189491900461e-52,7.84929939381689e-52,"9188/55127/4839/9221/5394/23481/25879/9277/1662/23560/10514/23020/27340/55661/29889/79039/55003/25926/51202/23223/84135/54606/64216/92856/84916/55226/84365/23195/23246/54663/51575/8602/705/55695/11340/8886/79050/10813/57647/51096/9136/23517/55813/10436/84128/54475/51042/64434/51018/29997/285855/23160/10885/79954/29777/10607/25983/5393/55272/26284/55299/54555/11056/55153/57602/28987/27292/80135/51388/55759/10556/6632/6433/84769/51001/22868/10412/4869/11103/153443/56915/6165/56342/2483/29063/55035/51118/27341/10799/6155/57109/84154/51335/84811/84864/4931/10569",97,"Downres_DEq_MS_X1H_vs_X3H"
"GO:0034470","GO:0034470","ncRNA processing","86/538","432/18614",1.69359477644987e-47,1.46699179536088e-44,1.22865844203079e-44,"9188/55127/4839/9221/5394/23481/25879/7040/9277/1662/23560/27340/55661/79039/25926/51202/23223/84135/1655/54606/64216/92856/84916/55226/84365/23246/51654/54663/51575/8602/705/55695/11340/8886/79050/10813/57647/51096/9136/23517/55813/10436/84128/51018/29997/285855/23160/10885/79954/29777/2926/10607/25983/5393/55272/55299/54555/11056/57602/28987/27292/80135/55759/10556/9692/10412/11103/51490/153443/56915/6165/56342/2483/29063/55035/51118/27341/652/10799/6155/57109/84154/26995/4931/55656/27304",86,"Downres_DEq_MS_X1H_vs_X3H"
"GO:0042274","GO:0042274","ribosomal small subunit biogenesis","28/538","78/18614",1.28293643636479e-23,9.26066284315987e-21,7.75613852581242e-21,"55127/25879/9277/27340/25926/92856/84916/55226/8602/705/57647/55813/10436/64434/23160/10885/79954/29777/10607/25983/55272/26284/11056/28987/4869/153443/27341/10799",28,"Downres_DEq_MS_X1H_vs_X3H"
"GO:0030490","GO:0030490","maturation of SSU-rRNA","23/538","54/18614",1.18573937172958e-21,7.3363388842297e-19,6.14444793230093e-19,"55127/25879/9277/27340/25926/92856/84916/55226/8602/705/57647/55813/23160/10885/79954/29777/10607/25983/55272/11056/28987/153443/10799",23,"Downres_DEq_MS_X1H_vs_X3H"
"GO:0042273","GO:0042273","ribosomal large subunit biogenesis","25/538","69/18614",2.44717648034495e-21,1.32484016704675e-18,1.10960133569325e-18,"4839/23481/23560/55003/84365/23195/23246/54663/8886/54475/51018/29997/285855/55299/55153/80135/51388/55759/22868/10412/4869/6165/56342/84154/4931",25,"Downres_DEq_MS_X1H_vs_X3H"
"GO:0007596","GO:0007596","blood coagulation","33/538","224/18614",1.28115847147719e-14,6.1652192666308e-12,5.16359309088936e-12,"2244/2266/7057/11117/2243/5054/7448/348/5345/5340/1311/83706/2153/2162/5265/725/2267/462/11093/2158/7035/2192/3043/3673/3611/3083/5341/3690/5873/350/5578/65991/5270",33,"Downres_DEq_MS_X1H_vs_X3H"
"GO:0050817","GO:0050817","coagulation","33/538","229/18614",2.45701989681847e-14,1.06413531731208e-11,8.91251638361731e-12,"2244/2266/7057/11117/2243/5054/7448/348/5345/5340/1311/83706/2153/2162/5265/725/2267/462/11093/2158/7035/2192/3043/3673/3611/3083/5341/3690/5873/350/5578/65991/5270",33,"Downres_DEq_MS_X1H_vs_X3H"
