"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0005996","GO:0005996","monosaccharide metabolic process","28/402","256/18614",1.93275891224245e-12,7.42952525866e-09,6.92334587195903e-09,"23275/2584/9563/26007/2548/4351/1374/55276/283209/5950/9104/3795/2592/2646/90673/5165/64080/2582/5105/4837/4485/283310/2585/23324/132158/25948/2203/3667",28,"Upres_DEq_MS_X3H_vs_X5H"
"GO:0019318","GO:0019318","hexose metabolic process","26/402","228/18614",4.68305753344303e-12,9.0008365792775e-09,8.38760251910875e-09,"23275/2584/9563/26007/2548/4351/1374/55276/283209/5950/9104/3795/2592/2646/90673/5165/2582/5105/4837/4485/2585/23324/132158/25948/2203/3667",26,"Upres_DEq_MS_X3H_vs_X5H"
"GO:0044262","GO:0044262","cellular carbohydrate metabolic process","24/402","290/18614",2.1166591419846e-08,2.7121459139296e-05,2.52736528427144e-05,"2584/26007/2548/2632/55276/9104/3795/2646/90673/5257/5165/2990/64080/5105/4204/4837/5256/2131/4485/2585/27329/8987/2203/3667",24,"Upres_DEq_MS_X3H_vs_X5H"
"GO:0006631","GO:0006631","fatty acid metabolic process","28/402","394/18614",3.84061373119692e-08,3.69082979568024e-05,3.43937066506924e-05,"337/8824/6296/2168/80724/11001/51084/570/1374/80221/873/116519/9104/23659/341/345/2639/56898/5165/2938/5105/127/145482/22937/57406/2944/27329/3667",28,"Upres_DEq_MS_X3H_vs_X5H"
"GO:0016042","GO:0016042","lipid catabolic process","25/402","330/18614",6.13228117396479e-08,4.71449776654413e-05,4.39329533368467e-05,"337/2168/80724/11001/6822/1374/116519/284161/22933/57552/23236/23659/341/345/2639/56898/5105/285148/63874/57406/54905/27329/57704/5051/3667",25,"Upres_DEq_MS_X3H_vs_X5H"
"GO:0044242","GO:0044242","cellular lipid catabolic process","20/402","222/18614",8.08968713684825e-08,5.18279289234078e-05,4.82968514503414e-05,"337/2168/80724/11001/1374/116519/284161/22933/23236/23659/341/345/2639/56898/5105/57406/54905/27329/57704/3667",20,"Upres_DEq_MS_X3H_vs_X5H"
"GO:0044282","GO:0044282","small molecule catabolic process","27/402","388/18614",1.03739611542154e-07,5.69678666811487e-05,5.30866012147294e-05,"2584/2168/80724/4329/26007/11001/6822/1629/51084/1374/125061/2592/23498/23659/2639/56898/64080/2582/5105/9673/127/23576/54905/1428/132158/3034/3667",27,"Upres_DEq_MS_X3H_vs_X5H"
"GO:0016054","GO:0016054","organic acid catabolic process","20/402","250/18614",5.54277360309028e-07,0.000236738019225323,0.000220608872179137,"2168/80724/4329/11001/6822/1629/51084/1374/125061/23498/23659/2639/56898/5105/9673/23576/54905/1428/3034/3667",20,"Upres_DEq_MS_X3H_vs_X5H"
"GO:0046395","GO:0046395","carboxylic acid catabolic process","20/402","250/18614",5.54277360309028e-07,0.000236738019225323,0.000220608872179137,"2168/80724/4329/11001/6822/1629/51084/1374/125061/23498/23659/2639/56898/5105/9673/23576/54905/1428/3034/3667",20,"Upres_DEq_MS_X3H_vs_X5H"
"GO:0008202","GO:0008202","steroid metabolic process","23/402","323/18614",6.22940492980524e-07,0.000239458325501713,0.000223143841853971,"337/9563/11001/6822/570/873/79799/2330/622/341/10654/10941/51478/7108/4204/9885/22937/8542/8720/27329/1582/57704/1181",23,"Upres_DEq_MS_X3H_vs_X5H"
"GO:0006066","GO:0006066","alcohol metabolic process","24/402","366/18614",1.54597653572328e-06,0.000540248527574573,0.000503440971393908,"337/2584/9563/26007/6822/2330/5950/284161/23236/341/10654/51478/7108/5105/4204/127/9807/22937/8542/8720/27329/1798/57704/1181",24,"Upres_DEq_MS_X3H_vs_X5H"
"GO:0006006","GO:0006006","glucose metabolic process","16/402","187/18614",3.17874571312046e-06,0.00101825821010292,0.000948883479100783,"9563/2548/1374/55276/283209/5950/9104/2646/90673/5165/5105/4837/4485/25948/2203/3667",16,"Upres_DEq_MS_X3H_vs_X5H"
"GO:0071466","GO:0071466","cellular response to xenobiotic stimulus","16/402","189/18614",3.64977386519641e-06,0.001079210056755,0.00100568262860432,"2947/8824/6822/873/2330/57552/9647/57412/874/7410/2938/5621/7172/54905/2944/2203",16,"Upres_DEq_MS_X3H_vs_X5H"
"GO:0010565","GO:0010565","regulation of cellular ketone metabolic process","13/402","135/18614",7.40729019202954e-06,0.00203383024986868,0.00189526379875763,"337/2168/9563/1374/116519/9104/23408/341/345/5165/22937/1181/3667",13,"Upres_DEq_MS_X3H_vs_X5H"
"GO:0062012","GO:0062012","regulation of small molecule metabolic process","21/402","331/18614",1.15592391755704e-05,0.00280195916738912,0.00261105949028566,"337/2168/171425/9563/1374/116519/2330/9104/23408/341/345/2646/90673/5165/4837/22937/4485/8720/1181/2203/3667",21,"Upres_DEq_MS_X3H_vs_X5H"
"GO:0016052","GO:0016052","carbohydrate catabolic process","14/402","162/18614",1.16626812378319e-05,0.00280195916738912,0.00261105949028566,"2584/26007/2548/1486/55276/2592/2990/64080/2582/23324/55526/132158/8987/2203",14,"Upres_DEq_MS_X3H_vs_X5H"
