"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0005759","GO:0005759","mitochondrial matrix","82/1473","484/19518",2.96313208054084e-12,1.63825389041711e-09,1.36583422041525e-09,"123876/4357/7263/6648/8659/5095/1666/8801/6821/3029/25824/54936/5096/79611/23410/27068/122961/34/5091/549/160760/55218/10157/26275/84274/11112/197322/18/3712/23417/373156/80347/50808/11315/205/7923/4967/23474/1892/56922/10247/10295/92483/2936/2954/84340/23597/23408/2639/81889/80017/51102/10105/10588/27034/5163/5165/55856/4287/128240/5303/55739/402/6647/728294/2647/51205/326625/84532/219/55006/53343/51023/80308/10667/349565/10202/25996/7084/79736/205327/28977",82,"Upres_DEq_MS_X1H_vs_X5H"
"GO:0099023","GO:0099023","vesicle tethering complex","23/1473","57/19518",5.67852301704369e-12,1.63825389041711e-09,1.36583422041525e-09,"23265/22878/22796/60412/27095/11336/23339/51594/149371/55763/10640/23355/54536/63894/57617/26276/55823/58485/27072/6293/51542/9392/55275",23,"Upres_DEq_MS_X1H_vs_X5H"
"GO:0060205","GO:0060205","cytoplasmic vesicle lumen","60/1473","325/19518",7.73035260860429e-11,1.44201617291462e-08,1.20222820582319e-08,"1727/2821/7414/1476/25801/9588/210/5223/8566/9798/410/55276/51571/8836/23593/411/55313/10493/5478/56954/2720/353/302/5274/5211/3417/29108/51719/5777/6282/226/4860/4790/374354/2760/5049/26578/1992/100/28988/213/387263/2171/29789/10533/1432/5695/10450/3240/4282/317/5580/139322/6993/4831/58485/29099/23526/10075/387921",60,"Upres_DEq_MS_X1H_vs_X5H"
"GO:0031983","GO:0031983","vesicle lumen","60/1473","327/19518",9.99664591275302e-11,1.44201617291462e-08,1.20222820582319e-08,"1727/2821/7414/1476/25801/9588/210/5223/8566/9798/410/55276/51571/8836/23593/411/55313/10493/5478/56954/2720/353/302/5274/5211/3417/29108/51719/5777/6282/226/4860/4790/374354/2760/5049/26578/1992/100/28988/213/387263/2171/29789/10533/1432/5695/10450/3240/4282/317/5580/139322/6993/4831/58485/29099/23526/10075/387921",60,"Upres_DEq_MS_X1H_vs_X5H"
"GO:0034774","GO:0034774","secretory granule lumen","59/1473","322/19518",1.51652393322084e-10,1.75006861893685e-08,1.45905565785668e-08,"1727/2821/7414/1476/25801/9588/210/5223/8566/9798/410/55276/51571/8836/23593/411/55313/10493/5478/56954/2720/353/302/5274/5211/3417/29108/51719/5777/6282/226/4860/4790/374354/2760/5049/26578/1992/28988/213/387263/2171/29789/10533/1432/5695/10450/3240/4282/317/5580/139322/6993/4831/58485/29099/23526/10075/387921",59,"Upres_DEq_MS_X1H_vs_X5H"
"GO:1904813","GO:1904813","ficolin-1-rich granule lumen","32/1473","124/19518",4.43308870431637e-10,4.26315363731757e-08,3.55424831205716e-08,"2821/7414/1476/210/5223/4048/327/823/55276/411/5478/2720/3043/5236/5211/3417/51719/226/4860/5049/26578/28988/10533/1432/5695/10450/4282/317/6993/4831/29099/10075",32,"Upres_DEq_MS_X1H_vs_X5H"
"GO:0101002","GO:0101002","ficolin-1-rich granule","39/1473","185/19518",3.50810131957719e-09,2.89167780199434e-07,2.4108305308974e-07,"2821/7414/1476/1832/210/5223/5269/4048/327/823/3958/55276/411/5478/2720/3043/5236/5547/5211/3417/51719/226/4860/5049/26578/28988/1604/10533/1432/51143/5695/10450/4282/317/6993/4831/29099/10075/10312",39,"Upres_DEq_MS_X1H_vs_X5H"
"GO:0005766","GO:0005766","primary lysosome","31/1473","155/19518",4.73967947776801e-07,3.03866117630238e-05,2.53337253957893e-05,"1727/10970/25801/9588/79888/9798/410/3073/8836/23593/411/55313/10493/2720/23317/302/5547/6836/29108/8904/10043/2760/387263/2171/9342/353189/5580/58485/23526/5663/387921",31,"Upres_DEq_MS_X1H_vs_X5H"
"GO:0042582","GO:0042582","azurophil granule","31/1473","155/19518",4.73967947776801e-07,3.03866117630238e-05,2.53337253957893e-05,"1727/10970/25801/9588/79888/9798/410/3073/8836/23593/411/55313/10493/2720/23317/302/5547/6836/29108/8904/10043/2760/387263/2171/9342/353189/5580/58485/23526/5663/387921",31,"Upres_DEq_MS_X1H_vs_X5H"
"GO:0005777","GO:0005777","peroxisome","28/1473","143/19518",2.59320077257209e-06,0.000136025167797645,0.000113406005078033,"2168/3422/9380/1384/2053/26063/11001/25824/10455/4598/7086/570/23417/373156/472/3417/10247/51015/84129/6647/3156/5830/54677/5190/5289/255027/5192/219743",28,"Upres_DEq_MS_X1H_vs_X5H"
"GO:0042579","GO:0042579","microbody","28/1473","143/19518",2.59320077257209e-06,0.000136025167797645,0.000113406005078033,"2168/3422/9380/1384/2053/26063/11001/25824/10455/4598/7086/570/23417/373156/472/3417/10247/51015/84129/6647/3156/5830/54677/5190/5289/255027/5192/219743",28,"Upres_DEq_MS_X1H_vs_X5H"
