"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","name"
"hsa04610","hsa04610","Complement and coagulation cascades","28/304","88/8840",3.49487509901315e-20,9.3313165143651e-18,8.60842919125344e-18,"718/2244/722/2266/2243/5054/7448/1191/727/5345/5104/5340/716/2153/2162/5265/732/725/730/735/462/5648/2158/7035/715/729/5270/720",28,"Downres_DEq_MS_X1H_vs_X3H"
"hsa04512","hsa04512","ECM-receptor interaction","24/304","89/8840",1.30553225731804e-15,1.74288556351958e-13,1.60786604322327e-13,"3339/1293/3915/3912/7057/1291/7448/255743/1311/5649/80144/7060/6385/375790/1292/3909/1280/3911/3688/3673/3371/3913/3690/3672",24,"Downres_DEq_MS_X1H_vs_X3H"
"hsa03030","hsa03030","DNA replication","13/304","36/8840",8.2744041574611e-11,7.36421970014038e-09,6.79372130823122e-09,"4174/4176/4171/4175/4172/4173/5984/5983/5985/5558/5424/5982/5426",13,"Downres_DEq_MS_X1H_vs_X3H"
"hsa04979","hsa04979","Cholesterol metabolism","14/304","51/8840",9.85793070264871e-10,6.58016874401801e-08,6.07040995899947e-08,"338/348/4035/335/55908/345/5360/27329/949/341/3931/336/350/3990",14,"Downres_DEq_MS_X1H_vs_X3H"
"hsa03008","hsa03008","Ribosome biogenesis in eukaryotes","23/304","168/8840",1.26991950919681e-08,6.78137017911094e-07,6.25602452951689e-07,"55127/26354/23560/29889/84135/92856/84916/55226/23195/10813/51096/55813/10436/84128/23160/10885/10607/55272/28987/10556/27341/10799/4931",23,"Downres_DEq_MS_X1H_vs_X3H"
"hsa04510","hsa04510","Focal adhesion","23/304","203/8840",4.38933508660324e-07,1.95325411353844e-05,1.8019375618687e-05,"1293/3915/3912/7057/1291/7448/1311/5649/7060/1292/3909/1280/3911/3688/3673/3611/3371/3913/3690/5578/3672/4638/8394",23,"Downres_DEq_MS_X1H_vs_X3H"
"hsa03082","hsa03082","ATP-dependent chromatin remodeling","15/304","117/8840",1.04610097505646e-05,0.000399012800485821,0.000368101696486032,"1108/6594/8467/5928/6599/54815/57634/9031/53615/64769/196528/10902/54617/6944/11176",15,"Downres_DEq_MS_X1H_vs_X3H"
"hsa05144","hsa05144","Malaria","8/304","50/8840",0.000271777178298334,0.00907056332570691,0.00836787627918555,"7057/4035/1311/7040/7060/975/3043/3040",8,"Downres_DEq_MS_X1H_vs_X3H"
"hsa05171","hsa05171","Coronavirus disease - COVID-19","19/304","238/8840",0.000541426599992161,0.0160623224664341,0.0148179911576802,"718/2244/2266/2243/727/716/2162/732/730/735/5648/715/729/6156/6165/6155/5578/3716/720",19,"Downres_DEq_MS_X1H_vs_X3H"
"hsa03410","hsa03410","Base excision repair","7/304","44/8840",0.000680728499102443,0.0181754509260352,0.0167674177673654,"5984/5983/5985/5424/4913/5982/5426",7,"Downres_DEq_MS_X1H_vs_X3H"
"hsa03430","hsa03430","Mismatch repair","5/304","23/8840",0.000939823622605088,0.0228120824759599,0.0210448543243627,"5984/5983/5985/5424/5982",5,"Downres_DEq_MS_X1H_vs_X3H"
"hsa04820","hsa04820","Cytoskeleton in muscle cells","18/304","232/8840",0.00105102388950873,0.0233852815415692,0.021573648258337,"3339/1293/7057/1291/1311/4811/7060/6385/375790/1292/3688/2192/3673/23353/1462/3690/3672/7273",18,"Downres_DEq_MS_X1H_vs_X3H"
"hsa04151","hsa04151","PI3K-Akt signaling pathway","24/304","362/8840",0.00153206488322352,0.0314662556785139,0.0290285977873931,"1293/3915/3912/7057/1291/7448/1311/5649/7060/1292/3909/1280/3911/3688/3673/3371/3913/3690/5578/3481/1969/3672/2264/3716",24,"Downres_DEq_MS_X1H_vs_X3H"
"hsa05165","hsa05165","Human papillomavirus infection","22/304","333/8840",0.00249331376557597,0.0475510553863417,0.0438673248981036,"1293/3915/3912/7057/1291/7448/1311/5649/4854/1108/7060/1292/3909/1280/3911/3688/3673/3371/3913/3690/3672/3716",22,"Downres_DEq_MS_X1H_vs_X3H"
