"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","name"
"R-HSA-71387","R-HSA-71387","Metabolism of carbohydrates","27/296","297/10955",3.15968692947488e-08,2.97010571370639e-05,2.83374027780273e-05,"GALK1/TKFC/GAA/NAGLU/GBE1/CRYL1/PGM2/PGM2L1/GALNS/KHK/GALT/GCKR/PHKB/GUSB/RBKS/GALE/PCK1/HS3ST3B1/PHKA2/EXT1/SLC9A1/MAN2B2/ST3GAL6/GLYCTK/SDC2/HYAL1/FBP1",27,"Upres_DEq_MS_X3H_vs_X5H"
"R-HSA-211859","R-HSA-211859","Biological oxidations","19/296","222/10955",8.98487627691537e-06,0.00422289185015022,0.00402900767785889,"GSTM3/CES2/SULT2A1/UGT2A3/ACY3/AS3MT/CBR3/MTARC2/UGT2A1/GSTA1/ADH4/NNMT/TPMT/CYP2W1/GSTM1/SULT1C2/CYP8B1/GLYATL1/AOC3",19,"Upres_DEq_MS_X3H_vs_X5H"
"R-HSA-5663084","R-HSA-5663084","Diseases of carbohydrate metabolism","7/296","34/10955",2.81443544618924e-05,0.00661392329854472,0.00631026052671904,"GAA/NAGLU/GBE1/GALNS/KHK/GUSB/HYAL1",7,"Upres_DEq_MS_X3H_vs_X5H"
"R-HSA-8963899","R-HSA-8963899","Plasma lipoprotein remodeling","7/296","34/10955",2.81443544618924e-05,0.00661392329854472,0.00631026052671904,"APOA4/MTTP/APOA5/APOC3/ALB/MBTPS1/ANGPTL3",7,"Upres_DEq_MS_X3H_vs_X5H"
"R-HSA-381426","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","12/296","125/10955",0.000139994616421817,0.0173246962279988,0.0165292734448544,"APOA5/CDH2/TF/BPIFB2/QSOX1/IGFALS/ALB/APOL1/MBTPS1/HRC/BMP4/SDC2",12,"Upres_DEq_MS_X3H_vs_X5H"
"R-HSA-2206281","R-HSA-2206281","Mucopolysaccharidoses","4/296","11/10955",0.000148336353390924,0.0173246962279988,0.0165292734448544,"NAGLU/GALNS/GUSB/HYAL1",4,"Upres_DEq_MS_X3H_vs_X5H"
"R-HSA-8957275","R-HSA-8957275","Post-translational protein phosphorylation","11/296","108/10955",0.000156428524683692,0.0173246962279988,0.0165292734448544,"APOA5/CDH2/TF/BPIFB2/QSOX1/ALB/APOL1/MBTPS1/HRC/BMP4/SDC2",11,"Upres_DEq_MS_X3H_vs_X5H"
"R-HSA-156580","R-HSA-156580","Phase II - Conjugation of compounds","11/296","109/10955",0.000169882044444772,0.0173246962279988,0.0165292734448544,"GSTM3/SULT2A1/UGT2A3/AS3MT/UGT2A1/GSTA1/NNMT/TPMT/GSTM1/SULT1C2/GLYATL1",11,"Upres_DEq_MS_X3H_vs_X5H"
"R-HSA-174824","R-HSA-174824","Plasma lipoprotein assembly, remodeling, and clearance","9/296","75/10955",0.000178573460123635,0.0173246962279988,0.0165292734448544,"APOA4/MTTP/APOA5/NCEH1/APOC1/APOC3/ALB/MBTPS1/ANGPTL3",9,"Upres_DEq_MS_X3H_vs_X5H"
"R-HSA-9748784","R-HSA-9748784","Drug ADME","11/296","110/10955",0.000184305279021263,0.0173246962279988,0.0165292734448544,"CES2/SULT2A1/UGT2A3/VAV2/UGT2A1/GSTA1/PCK1/ALB/TPMT/GSTM1/GLYATL1",11,"Upres_DEq_MS_X3H_vs_X5H"
"R-HSA-189483","R-HSA-189483","Heme degradation","4/296","15/10955",0.000563225759028155,0.0441193511238722,0.0420937146221042,"FABP1/BLVRB/GSTA1/ALB",4,"Upres_DEq_MS_X3H_vs_X5H"
"R-HSA-5609975","R-HSA-5609975","Diseases associated with glycosylation precursor biosynthesis","4/296","15/10955",0.000563225759028155,0.0441193511238722,0.0420937146221042,"GALK1/MPI/GALT/GALE",4,"Upres_DEq_MS_X3H_vs_X5H"
"R-HSA-189445","R-HSA-189445","Metabolism of porphyrins","5/296","27/10955",0.000689366562226045,0.0498465052686525,0.0475579199203717,"FABP1/BLVRB/ALAD/GSTA1/ALB",5,"Upres_DEq_MS_X3H_vs_X5H"
