"Genes","ProtDesc","logFC","Diff_Abund","negLog10_sca_adjPval","sca.t","sca.P.Value","AveExpr","count","sca.adj.pval","P.Value","adj.P.Val"
"MCM5","DNA replication licensing factor MCM5",-1.67,"Up in X3H",8.328,-40.8696751556356,7.94535076578679e-13,18.19,14,4.70126404811605e-09,2.36218758532311e-11,1.39770639423569e-07
"MCM2","DNA replication licensing factor MCM2",-1.52,"Up in X3H",8.24,-37.476771447197,1.94593614227327e-12,17.66,19,5.75705207691547e-09,7.20893685260235e-11,2.13276396784241e-07
"IGSF1","Immunoglobulin superfamily member 1",1.63,"Up in X5H",8.104,34.096607837851,5.16280059237255e-12,19.63,24,7.8618527045556e-09,1.4431909236695e-10,2.84645356511747e-07
"RBM14","RNA-binding protein 14",-0.96,"Up in X3H",8.104,-34.0008556748725,5.31475592668961e-12,20.14,22,7.8618527045556e-09,5.37032413161789e-10,4.31812427711423e-07
"APOA4","Apolipoprotein A-IV",1.61,"Up in X5H",7.827,30.9688394005108,1.39174407823728e-11,20.36,33,1.49061674463175e-08,3.35282737120825e-10,4.31812427711423e-07
"GSTM3","Glutathione S-transferase Mu 3;Glutathione S-transferase Mu 3",1.12,"Up in X5H",7.827,30.7215120458535,1.51152619026373e-11,19.61,15,1.49061674463175e-08,4.42659376278236e-10,4.31812427711423e-07
"SMC4","Structural maintenance of chromosomes protein 4",-1.66,"Up in X3H",7.682,-29.2999199276945,2.46127138564157e-11,17.18,16,2.08047754126303e-08,3.94362011749339e-10,4.31812427711423e-07
"ACSM2A","Acyl-coenzyme A synthetase ACSM2A, mitochondrial;Acyl-coenzyme A synthetase ACSM2A, mitochondrial;Acyl-coenzyme A synthetase ACSM2B, mitochondrial",1.6,"Up in X5H",7.347,26.2515200313106,7.60791244196869e-11,18.64,13,4.50160179191287e-08,9.03769491333111e-10,5.94178231135335e-07
"MCM6","DNA replication licensing factor MCM6",-1.57,"Up in X3H",7.347,-26.4740024053092,6.97693577240801e-11,17.78,19,4.50160179191287e-08,1.04306759524359e-09,6.1718309610563e-07
"PBXIP1","Pre-B-cell leukemia transcription factor-interacting protein 1",-0.74,"Up in X3H",7.347,-26.3143506065721,7.42361539252639e-11,19.13,19,4.50160179191287e-08,4.96103390360815e-09,1.72673162397938e-06
